date,open,high,low,close
2025-09-19,33.81,35.6,33.4,34.78
2025-09-20,34.78,34.78,34.11,34.48
2025-09-21,34.48,34.62,34.06,34.51
2025-09-22,34.51,38.09,34.51,35.17
2025-09-23,35.17,37.17,35.09,37.14
2025-09-24,37.14,37.25,35.28,36.17
2025-09-25,36.17,37.98,35.68,37.69
2025-09-26,37.69,38.11,35.82,36.55
2025-09-27,36.55,36.87,36.35,36.42
2025-09-28,36.42,36.83,35.71,35.86
2025-09-29,35.86,36.96,35.21,36.39
2025-09-30,36.39,37.06,35.64,36.61
2025-10-01,36.61,37.7,35.9,37.12
2025-10-02,37.12,37.9,36.74,37.39
2025-10-03,37.39,38.96,36.81,38.03
2025-10-04,38.03,38.29,37.49,38.03
2025-10-05,38.03,39.66,37.92,37.95
2025-10-06,37.95,39.42,37.67,39.26
2025-10-07,39.07,39.39,38.54,39.28
2025-10-08,39.28,40.03,38.54,39.44
2025-10-09,39.44,40.44,39.33,39.73
2025-10-10,39.73,64.88,39.45,44.11
2025-10-11,44.11,48.54,43.69,46.15
2025-10-12,46.15,47.82,43.42,46.24
2025-10-13,46.24,46.51,42.87,43.38
2025-10-14,43.38,47.71,43.18,45.01
2025-10-15,45.01,45.73,44.07,45.25
2025-10-16,45.25,48.52,44.67,47.78
2025-10-17,47.78,51.0,45.75,50.0
2025-10-18,50.0,50.03,48.2,49.08
2025-10-19,49.08,50.78,46.58,47.68
2025-10-20,47.68,49.62,45.09,45.95
2025-10-21,45.95,49.64,45.53,49.27
2025-10-22,49.27,51.24,47.08,50.7
2025-10-23,50.7,50.7,45.12,45.13
2025-10-24,45.13,45.18,42.69,42.84
2025-10-25,42.84,43.39,42.32,42.9
2025-10-26,42.9,44.17,42.41,43.91
2025-10-27,43.91,43.91,42.04,42.82
2025-10-28,42.82,43.07,40.44,42.39
2025-10-29,42.39,45.53,42.39,45.07
2025-10-30,45.07,47.15,43.79,44.85
2025-10-31,44.85,44.85,42.74,43.31
2025-11-01,43.31,43.82,42.73,43.49
2025-11-02,43.49,44.9,43.45,44.12
2025-11-03,44.12,46.83,43.6,45.73
2025-11-04,45.73,50.56,44.93,47.79
2025-11-05,47.79,50.48,46.26,46.55
2025-11-06,46.55,48.13,44.11,46.94
2025-11-07,46.93,47.78,44.27,44.61
2025-11-08,44.61,45.08,43.04,44.88
2025-11-09,44.88,47.24,44.88,45.11
2025-11-10,45.11,45.14,44.28,44.3
2025-11-11,44.3,47.44,43.56,46.61
2025-11-12,46.61,46.95,44.75,46.07
2025-11-13,46.08,46.96,43.93,46.52
2025-11-14,46.52,50.58,45.87,49.71
2025-11-15,49.71,49.71,48.01,48.5
2025-11-16,48.5,50.7,48.36,49.64
2025-11-17,49.64,51.71,47.9,50.62
2025-11-18,50.62,52.78,50.13,50.52
2025-11-19,50.52,53.61,50.47,51.04
