date,btc_price,atm_iv,risk_reversal,call_strike,call_iv,put_strike,put_iv
2026-08-27,79680.16,46.52,-13.96,87000,39.54,73000,53.5
2026-08-27,80473.33,50.485,-0.7100000000000009,90000,50.13,74000,50.84
2026-08-28,79433.39,47.760000000000005,9.32,89000,52.42,74000,43.1
2026-08-29,77947.31,38.815,1.910000000000004,85000,39.77,73000,37.86
2026-08-30,79129.06,39.405,-1.6499999999999986,86000,38.58,74000,40.23
2026-08-31,78592.54,36.095,0.1499999999999985,85000,36.17,74000,36.02
2026-09-01,78633.99,38.48,3.699999999999996,86000,40.33,74000,36.63
2026-09-02,78941.14,38.645,-0.4299999999999997,86000,38.43,74000,38.86
2026-09-03,82474.89,36.51,6.140000000000001,90000,39.58,78000,33.44
2026-09-04,80901.33,33.93,9.28,88000,38.57,77000,29.29
2026-09-05,79806.7,38.010000000000005,1.4799999999999969,87000,38.75,75000,37.27
2026-09-06,79534.83,44.23,3.839999999999996,88000,46.15,74000,42.31
2026-09-08,78399.18,43.45,-3.960000000000001,86000,41.47,73000,45.43
2026-09-09,78629.36,46.83,-12.579999999999998,86000,40.54,72000,53.12
2026-09-10,77421.1,59.67,-24.32,86000,47.51,69000,71.83
2026-09-11,77688.36,39.195,3.230000000000004,85000,40.81,73000,37.58
2026-09-12,77268.9,39.685,-3.530000000000001,84000,37.92,72000,41.45
2026-09-13,77114.62,39.89,-2.8200000000000003,84000,38.48,72000,41.3
2026-09-14,78852.52,38.87,1.2199999999999989,86000,39.48,74000,38.26
2026-09-15,77170.49,45.255,7.07,86000,48.79,72000,41.72
2026-09-16,75834.34,47.05,-22.78,82000,35.66,69000,58.44
2026-09-17,76781.14,46.155,-20.450000000000003,83000,35.93,70000,56.38
2026-09-18,81742.26,44.290000000000006,-0.1000000000000014,90000,44.24,76000,44.34
2026-09-19,83704.78,34.325,-0.030000000000001137,90000,34.31,79000,34.34
